# NMS_3.5 DMG Dungeon Encounter Tables
# Noah Stevens
# February 9, 2020

:Level1
1-03,{Dice~1d3} Medium monstrous centipedes
4-08,{Dice~1d4} dire rats
9-10,{Dice~1d4} giant fire beetles
11-13,{Dice~1d3} Small monstrous scorpions 
14-16,{Dice~1d3} Small monstrous spiders
17-20,{Dice~1d3} dwarf warriors
21-22,{Dice~1d3} elf warriors
23-25,darkmantle
26-28,krenshar
29-30,lemure
31-40,{Dice~1d3+1} goblin warriors
41-50,{Dice~1d4+2} kobold warriors
51-56,{Dice~1d4} human warrior skeletons
57-62,{Dice~1d3} human commoner zombies
63-71,{Dice~1d4+1} tiny viper snakes
72-80,{Dice~1d3} orc warriors
81-85,{Dice~1d3} stirges
86-90,spider swarm
91-100,[Level2]

:Level2
1-10,[Level1]
11-12,lantern archon
13-19,hobgoblin warrior and {Dice~1d4} goblin warriors
20-23,bugbear
24-26,choker
27-28,dretch
29-30,quasit
31-32,imp
33-35,dire bat
36-38,{Dice~1d4+1} fiendish dire rats
39-40,{Dice~1d3+1} formian workers
41-43,{Dice~1d3+1} halfling warriors
44-50,{Dice~2d4+1} kobold warriors
51-55,wererat
56-62,{Dice~1d3+1} orc warriors
63-65,shocker lizard
66-68,owlbear skeleton
69-70,bat swarm
71-72,rat swarm
73-74,thoqqua
75-79,worg
80-83,constrictor snake
84-87,{Dice~1d4+2} Small viper snakes
88-90,Huge monstrous centipede
91-100,[Level3]

:Level3
1-10,[Level2]
11-13,allip
14-16,cockatrice
17-19,{Dice~2d4+1} dire rats
20-21,doppelganger
22-23,wyrmling brass dragon
24-27,{Dice~1d3} drow elves
28-29,ethereal filcher
30-31,ethereal marauder
32-33,ettercap
34-35,violet fungus
36-38,ghast
39-43,{Dice~1d3} gnolls
44-45,grick
46-48,hell hound
49-50,howler
51-52,{Dice~1d3} krenshars
53-55,{Dice~1d3} lizardfolk
56-57,werewolf
58-62,ogre
63-65,gelatinous cube
66-67,phantom fungus
68-69,rust monster
70-72,shadow
73-75,{Dice~2d4} stirges
76-77,locust swarm
78-80,wight
81-82,yuan-ti pureblood
83-84,{Dice~1d3} troglodyte zombies
85-86,{Dice~1d3} Medium viper snakes
87-88,giant praying mantis
89-90,{Dice~1d3} Medium monstrous scorpions
91-100,[Level4]

:Level4
1-10,[Level3]
11-12,barghest
13-14,{Dice~1d3} lantern archons
15-16,hound archon
17-20,carrion crawler
21-22,{Dice~1d4+1} darkmantles
23-27,displacer beast
28-30,young white dragon
31-33,{Dice~1d3+1} duergar dwarves
34-38,gargoyle
39-40,janni
41-44,{Dice~1d3+1} ghouls
45-47,{Dice~1d3+1} svirfneblin gnomes
48-50,{Dice~1d3+1} grimlocks
51-52,harpy
53-54,five-headed hydra
55-56,wereboar
57-59,mimic
60-62,minotaur
63-64,gray ooze
65-67,otyugh
68-69,owlbear
70-71,centipede swarm
72-73,{Dice~1d3+1} spider swarms
74-76,{Dice~1d4+1} troglodytes
77-78,vampire spawn
79-80,{Dice~1d3} worgs
81-83,minotaur zombie
84-85,{Dice~1d3} Large viper snakes
86-88,{Dice~1d4+1} Large monstrous centipedes
89-90,{Dice~1d3} Large monstrous spiders
91-100,[Level5]

:Level5
1-10,[Level4]
11-12,basilisk
13-14,greater barghest
15-17,{Dice~1d3+1} bugbears
18-19,{Dice~1d3} celestial lions
20-21,cloaker
22-23,bearded devil
24-26,{Dice~1d4+4}dire bats
27-28,{Dice~1d3} doppelgangers
29-33,{Dice~1d4+2} drow elves
34-35,ettercap and {Dice~1d3+1} Medium monstrous spiders
36-37,djinni
38-39,gibbering mouther
40-41,green hag
42-43,{Dice~1d3} hell hounds
44-45,six-headed hydra
46-47,werebear
48-49,{Dice~1d3} wererats and {Dice~2d4} dire rats
50-51,manticore
52-53,mummy
54-56,{Dice~1d3} ogres
57-58,ochre jelly
59-60,phase spider
61-62,{Dice~1d3} rust monsters
63-64,shadow mastiff
65-66,{Dice~1d4+1} skum
67-68,{Dice~1d3+1} rat swarms
69-71,troll
72-73,{Dice~1d4+1} vargouilles
74-76,wraith
77-78,yuan-ti halfblood
79-80,giant constrictor snake
81-82,{Dice~1d3} Huge viper snakes
83-84,{Dice~1d3} giant worker ants
85-86,{Dice~1d3+1} Large monstrous scorpions
87-88,5th-level human monk NPC
89-90,5th-level kobold sorcerer NPC
91-100,[Level6]

:Level6
1-10,[Level5]
11-12,{Dice~1d4+2} lantern archons
13-14,gauth
15-16,{Dice~1d3+1} cockatrices
17-18,babau
19-21,{Dice~1d3+1} derros
22-23,chain devil
24-25,digester
26-30,{Dice~1d3} displacer beasts
31-32,bralani (eladrin)
33-36,ettin
37-38,{Dice~1d3+1} formian workers
39-42,{Dice~1d3} gargoyles
43-45,{Dice~1d3+1} ghasts
46-48,{Dice~1d4+1} gnolls and 1{Dice~1d3} hyenas
49-50,{Dice~1d3+1} gricks
51-52,annis
53-54,half-dragon 4th-level fighter
55-56,{Dice~1d3} harpies
57-58,{Dice~1d3+1} howlers
59,five-headed pyrohydra
60,five-headed cryohydra
61-63,wereboar and {Dice~1d3} boars
64-65,{Dice~1d3+1} mephits (mixed types)
66-67,average salamander
68-71,{Dice~1d4+1} shadows
72-73,{Dice~1d3+2} shocker lizards
74-75,{Dice~1d3+1} locust swarms
76-78,{Dice~1d3+1} troglodytes and 1{Dice~1d3} monitor lizards
79-80,will-o’-wisp
81-82,xill
83-84,{Dice~1d3+1} minor xorns
85-86,{Dice~1d3+1} yuan-ti purebloods
87-88,{Dice~1d4+2} giant bombardier beetles
89-90,5th-level lizardfolk druid NPC (with crocodile)
91-100,[Level7]

:Level7
1-10,[Level6]
11-12,aboleth
13-14,{Dice~1d4+1} carrion crawlers
15-16,chaos beast
17-19,chuul
20-21,succubus
22-23,hellcat
24-25,dire bear
26-28,young copper dragon
29-31,drider
32-33,{Dice~1d3+1} violet fungi and 1{Dice~1d3+2} shriekers
34-35,{Dice~1d3+1} jann
36-38,ghost, 5th-level fighter
