#
# NMS_5eTrinkets
#
:Start
1,a mummified goblin hand
2,a piece of crystal that faintly glows in the moonlight
3,a gold coin minted in an unknown land
4,a diary written in a language you don’t know
5,a brass ring that never tarnishes
6,an old chess piece made from glass
7,a pair of knucklebone dice, each with a skull symbol on the side that would normally show six pips
8,a small idol depicting a nightmarish creature that gives you unsettling dreams when you sleep near it
9,a rope necklace from which dangles four mummified elf fingers
10,the deed for a parcel of land in a realm unknown to you
11,a 1-ounce block made from an unknown material
12,a small cloth doll skewered with needles
13,a tooth from an unknown beast
14,an enormous scale, perhaps from a dragon
15,a bright green feather
16,an old divination card bearing your likeness
17,a glass orb filled with moving smoke
18,a 1-pound egg with a bright red shell
19,a pipe that blows bubbles
20,a glass jar containing a weird bit of flesh floating in pickling fluid
21,a tiny gnome-crafted music box that plays a song you dimly remember from your childhood
22,a small wooden statuette of a smug halfling
23,a brass orb etched with strange runes
24,a multicolored stone disk
25,a tiny silver icon of a raven
26,a bag containing forty-seven humanoid teeth, one of which is rotten
27,a shard of obsidian that always feels warm to the touch
28,a dragon's bony talon hanging from a plain leather necklace
29,a pair of old socks
30,a blank book whose pages refuse to hold ink, chalk, graphite, or any other substance or marking
31,a silver badge in the shape of a five-pointed star
32,a knife that belonged to a relative
33,a glass vial filled with nail clippings
34,a rectangular metal device with two tiny metal cups on one end that throws sparks when wet
35,a white, sequined glove sized for a human
36,a vest with one hundred tiny pockets
37,a small, weightless stone block
38,a tiny sketch portrait of a goblin
39,an empty glass vial that smells of perfume when opened
40,a gemstone that looks like a lump of coal when examined by anyone but you
41,a scrap of cloth from an old banner
42,a rank insignia from a lost legionnaire
43,a tiny silver bell without a clapper
44,a mechanical canary inside a gnome-crafted lamp
45,a tiny chest carved to look like it has numerous feet on the bottom
46,a dead sprite inside a clear glass bottle
47,a metal can that has no opening but sounds as if it is filled with liquid, sand, spiders, or broken glass (your choice)
48,a glass orb filled with water, in which swims a clockwork goldfish
49,a silver spoon with an m engraved on the handle
50,a whistle made from gold-colored wood
51,a dead scarab beetle the size of your hand
52,two toy soldiers, one with a missing head
53,a small box filled with different-sized buttons
54,a candle that can’t be lit
55,a tiny cage with no door
56,an old key
57,an indecipherable treasure map
58,a hilt from a broken sword
59,a rabbit’s foot
60,a glass eye
61,a cameo carved in the likeness of a hideous person
62,a silver skull the size of a coin
63,an alabaster mask
64,a pyramid of sticky black incense that smells very bad
65,a nightcap that, when worn, gives you pleasant dreams
66,a single caltrop made from bone
67,a gold monocle frame without the lens
68,a 1-inch cube, each side painted a different color
69,a crystal knob from a door
70,a small packet filled with pink dust
71,a fragment of a beautiful song, written as musical notes on two pieces of parchment
72,a silver teardrop earring made from a real teardrop
73,the shell of an egg painted with scenes of human misery in disturbing detail
74,a fan that, when unfolded, shows a sleeping cat
75,a set of bone pipes
76,a four-leaf clover pressed inside a book discussing manners and etiquette
77,a sheet of parchment upon which is drawn a complex mechanical contraption
78,an ornate scabbard that fits no blade you have found so far
79,an invitation to a party where a murder happened
80,a bronze pentacle with an etching of a rat's head in its center
81,a purple handkerchief embroidered with the name of a powerful archmage
82,half of a floorplan for a temple, castle, or some other structure
83,a bit of folded cloth that, when unfolded, turns into a stylish cap
84,a receipt of deposit at a bank in a far-flung city
85,a diary with seven missing pages
86,an empty silver snuffbox bearing an inscription on the surface that says “Dreams”
87,an iron holy symbol devoted to an unknown god
88,a book that tells the story of a legendary hero's rise and fall, with the last chapter missing
89,a vial of dragon blood
90,an ancient arrow of elven design
91,a needle that never bends
92,an ornate brooch of dwarven design
93,an empty wine bottle bearing a pretty label that says, “The Wizard Of Wines Winery, Red Dragon Crush, 331422-w”
94,a mosaic tile with a multicolored, glazed surface
95,a petrified mouse
96,a black pirate flag adorned with a dragon's skull and crossbones
97,a tiny mechanical crab or spider that moves about when it’s not being observed
98,a glass jar containing lard with a label that reads “Griffon Grease”
99,a wooden box with a ceramic bottom that holds a living worm with a head on each end of its body
100,a metal urn containing the ashes of a hero
