#
# NMS_DMG3.5 Method Random Dungeons for DunjonCorp 2020
# Noah Stevens
# July 10, 2018
#

:Start
1–18,Monster
19–44,Monster and features
45,Monster and hidden treasure
46,Monster and trap
47,Monster, features, and hidden treasure
48,Monster, features, and trap
49,Monster, hidden treasure, and trap
50,Monster, features, hidden treasure, and trap
51–76,Features 
77,Features and hidden treasure
78,Features and trap
79,Features, hidden treasure, and trap
80,Hidden treasure 
81,Hidden treasure and trap
82,Trap
83–100,Nothing

;Loot
[Treasure]

:Monster
1-3,[NMS_RoTUWM.Low]
4-12,[NMS_RoTUWM.Medium]
13-18,[NMS_RoTUWM.Hard]
19-20,[NMS_RoTUWM.Extreme]

;Empty
5,It is dusty, here.
5,It is dusty, here. The dust is recently disturbed.
5,It is [Light] here.
5,[Air] air.
5,[Smell] smell.
3,This room was once a [Type].
1,There are sproutings of luminescent fungi, here.

;Trap
1,AL x 10' Deep Pit 1d6 damage
1,AL x 10' Deep Pit with Spikes 1d8 damage
1,Cesspit - DC 15 Reflex or fall in, DC 15 Fort or catch random disease
1,AL x 20' Deep Pit 2d6 damage per 10'
1,AL x 20' Deep Pit with Spikes 2d8 damage per 10'
1,Slowing Gas - slow for 4 turns, DC {Dice~1d10+12} Fort save
1,Blinding Gas - blind for 4 turns, DC {Dice~1d10+12} Fort save
1,Poison Gas - DC {Dice~1d10+12} Fort save or ALx5 damage
1,Hail Of Needles - 10 attacks per PC as fighter of AL causing 1 damage
1,Falling Stones - d6 damage per PC
1,Fusilade Of Darts - 4 attacks per PC as fighter of AL causing 1d3 damage
1,Burning Oil Shower - d6 damage plus 1 per round for AL rounds
1,Mummy Rot Powder - DC {Dice~1d10+12} Fort save or cursed as per mummy
1,Acid Rain - d4 damage/AL plus damage to items
1,Javelin - d10 damage plus d4 per AL
1,Contact Poison - DC {Dice~1d10+12} Fort save or die
1,Shocking Grasp - DC {Dice~1d10+12} Reflex save vs 8 damage plus 1/AL
1,Cold Glyph - DC {Dice~1d10+12} Fort save2 damage per AL
1,Negative Energy Glyph - Save or lose 1 energy level
1,Phantasmal killer - DC {Dice~1d10+12} Will save or Die, passed = random insanity
1,Lightning bolt - DC {Dice~1d10+12} Reflex save or {Dice~5d6} damage, passed = half
1,Monomolecular scythe - attack everyone as AL Fighter for d20 damage, crits decapitate as Vorpal Sword
1,Disintegration Beams - DC {Dice~2d10+5} Reflex Save or ALx15 damage
1,Radiation Field Projector - DC {Dice~1d10+12} Fort save or random major corruption
1,Tachyon Bolt - DC {Dice~1d10+12} Reflex save or age d100 years
1,Death Glyph - Awaken all undead, turn nearby recent dead into zombies
1,Rust Glyph - DC {Dice~1d10+12} Will save or lose all non-magic metallic items
1,Sonic Glyph - DC {Dice~1d10+12} Fort save or deafness for 4 turns
1,Mud Glyph - DC {Dice~1d10+12} Reflex save or mired in room for 4 turns
1,Arrrow trap - unluckiest PC gets Attack with d20+5 1d10 damage
1,Arrow trap, poisoned unluckiest PC gets Attack with d20+5 1d10 damage and random poison DC 15
1,Ball trap - all PCs in marching order DC 15 Reflex save
1,Caltrops - DC 14 Reflex save or 1d6 damage
1,Caltrops, poisoned - DC 14 Reflex save or 1d6 damage and poison or disease
1,Ceiling block falls - 1d3 unluckiest get a DC 14 Reflex save or 2d12 damage 
1,Ceiling collapses - everybody DC 14 Reflex save or death - all stunned
1,Ceiling lowers - find the mechanism with DC 17 Intelligence check in 4 rounds or all die!
1,Chute - into an oubliette or down 1d3 levels on whole party
1,Door, falling - one door has a pit trap behind - roll under Agility to avoid falling
1,Door, one way - will not open from other side
1,Door, resisting - needs a DC 17 Strength check to open
1,Door, specific - only opens with specific command or item
1,Door, spring - door flies open and DC 15 Reflex save or 1d12 damage
1,Floor, collapsing - suddenly, the whole party makes DC 15 to avoid falling into the depths
1,Floor, illusionary - make a DC 13 Will save to disbelieve
1,Gas, blinding - DC {Dice~1d10+12} Fort save or -4 to all attacks
1,Gas, corroding - all items have a 1-5 on Action dice usage to fall apart
1,Gas, panic - everyone moves at +4 in the Initiative order for {Dice~1d4} turns but all actions are at -1d
1,Gas, nausea - DC {Dice~1d10+12} Fort save or roll -2d for initiative and -1d for Actions for {Dice~1d4} turns
1,Gas, obscuring - vision impaired while random monsters arrive, party loses surprise
1,Gas, poison - DC {Dice~1d10+12} Fort save or take 1d6 Stamina damage
1,Vacuum chamber - within {Dice~1d4+2} turns, the breathable air from this area and nearby {Dice~1d4} rooms is evacuated


;Feature
3,Damp & moldy
