#
# NMS_ImprovedUndead
#

:Start
1,[Type], [Special]

;Type
1,skeleton
1,zombie
1,ghoul
1,ghast
1,ghost
1,wight
1,wraith
1,shadow
1,phantasm
1,coffer corpse
1,death knight
1,lich

:Special
1,energy-draining touch (ability score damage; will save resists)
2,level-draining touch (lose xp; will save resists)
3,searing gaze (1d6 damage with a look)
4,touch of cold (1d4 damage; immune to fire spells)
5,chill aura (all within 100’ take 1d4 damage; immune to fire spells)
6,blood drain (causes 1d4 damage + 1 stamina point each round)
7,flight/levitation
8,transformation (rat, cat, bat, wolf, worm; or mist, dust, spirit; etc.)
9,extraordinary strength (strength 22+)
10,swift (2 actions per round)
11,slow (1 action every 2 rounds)
12,immune to non-magical weapons
13,immune to non-silvered weapons
14,resistant to spells (50% chance of any spell not affecting it)
15,cannot be killed without special ritual (stake through heart, exorcism, destruction of phylactery, form burned in fire, etc.)
16,paralysis with touch (will save to resist)
17,translucent/transparent/invisible
18,issues a curse with every strike (see appendix c of dcc book or some other source)
19,casts spells as wizard of level 1d4+1
20,continues to worship a dark god in undeath; casts spells as cleric of level 1d4+1; can turn living/lawful/good as a cleric turns unholy
21,embalmed in oil and rags, and susceptible to flame - takes 1d10 extra points of fire damage on strikes
22,infested with vermin, and upon destruction 1d6 leap out to attack for 1 hp damage each
23,enchanted with pyromantic runes and explodes upon destruction for 1d8 damage to all within 10 feet
24,semi-ethereal, increasing ac by 1d10, determined at the start of each round
25,necromantic backlash when struck, causing 1d6 points of damage to attacker (save for no damage)
26,accompanied by haunted music, will save at –(1d6) or pcs and npcs charmed for 3 rounds
27,stealthy, always has surprise (free actions first round)
28,spider-climb
29,spreads disease on strike, fortitude save to resist
30,a foule stenche - aura of disease within 10 feet, fortitude save +3 to resist
31,black bilious humours – weapons that strike it become stuck
32,cloud of flies – distracts foes in combat, no spells with somatic or verbal components may be cast
33,revenant – attracted to one particular pc/npc (a murderer?) and will attack no others
34,sleep of ages – each strike on it causes the character to age a year
35,weak necromancy – has only 1 hp before dissipating the material form
36,compelled to count items – when faced with e.g. caltrops or pins, will stop attacks for 1d8 rounds
37,crawling horde – when destroyed, summons or conjures 1d3-1 more of the same
38,knitted flesh and wired bone – any individuals encountered are actually a single colossal individual
39,they hunger – will attack wounded first, and pause to feed on the dead
40,mouldy – each strike showers the attacker in spores for a fortitude save or acquire lung rot
41,melancholic humours – each strike, pcs must make a will save or lose the next round out of sadness
42,packed with sawdust – coins and other small items found inside and low value treasure spills out when struck
43,send more paramedics! – as intelligent in death as they were in life
44,failing enchantment – lose 1d4 hp per round but healed full amount of damage by any spell effects
45,jealous – will not stray from the treasure it guards/was interred with
46,strong runic soulbinding – maximum possible hp, discernible enchantment warning
47,unnerving laughter – will save or lose action this round, attackers
