#
# NMS_MRSpells
# Stolen from Ben Milton's Excellent MR., IIRC
#

;Start
1,[Element] [Form]
1,[Effect] [Form]
1,[Effect] [Element]
1,[Effect] [Element] [Form]
1,[Form] of [Element]
1,[Form] of [Effect] [Element]

;Effect
1,Absorbing
1,Accelerating
1,Attracting
1,Awakening
1,Bewildering
1,Binding
1,Blazing
1,Blinding
1,Blossoming
1,Cacophonous
1,Concealing
1,Condemning
1,Consuming
1,Creeping
1,Crushing
1,Deflecting
1,Devastating
1,Dicing
1,Diminishing
1,Disguising
1,Dispelling
1,Duplicating
1,Empowering
1,Enchanting
1,Enlightening
1,Enraging
1,Ensorcelling
1,Entangling
1,Enveloping
1,Excruciating
1,Expanding
1,Fearsome
1,Flaming
1,Floating
1,Freezing
1,Grasping
1,Gyrating
1,Haunting
1,Helpful
1,Hindering
1,Hovering
1,Illusory
1,Imprisoning
1,Instantaneous
1,Inverting
1,Invigorating
1,Invisible
1,LiquefYing
1,Luminous
1,Maddening
1,Mesmerizing
1,Nullifying
1,Obscuring
1,Oozing
1,Opening
1,Perceptive
1,Pestilential
1,PetrifYing
1,Phasing
1,Piercing
1,Planar
1,Poisonous
1,Polymorphing
1,Pursuing
1,Rearranging
1,Rebounding
1,Reflecting
1,Rejuvenating
1,Repeating
1,Repelling
1,Restorative
1,Restraining
1,Revealing
1,Reversing
1,Revolting
1,Revolving
1,Screaming
1,Scrying
1,Sealing
1,Shielding
1,Silent
1,Slashing
1,Sleeping
1,Smoking
1,Soothing
1,Subtle
1,Summoning
1,Sweeping
1,Terrifying
1,Thirsty
1,Thundering
1,Transmuting
1,Transporting
1,Transposing
1,Untiring
1,Vaporizing
1,Vengeful
1,Voracious
1,Warding
1,Withering

;Element
1,Acid
1,Aether
1,Air
1,Alabaster
1,Amber
1,Ash
1,Bat
1,Battle
1,Beetle
1,Bile
1,Blight
1,Blood
1,Bone
1,Brimstone
1,Brine
1,Bronze
1,Chaos
1,Clay
1,Copper
1,Crow
1,Crystal
1,Night
1,Death
1,Doom
1,Dream
1,Dust
1,Earth
1,Echo
1,Energy
1,Fire
1,Flame
1,Flesh
1,Fog
1,Fungus
1,Ghost
1,Glass
1,Gold
1,Heat
1,Honey
1,Ice
1,Ichor
1,Insect
1,Iron
1,Ivory
1,Jade
1,Lava
1,Light
1,Lightning
1,Loam
1,Marmalade
1,Miasma
1,Milk
1,Mist
1,Moss
1,Mud
1,Mutation
1,Nectar
1,Nightmare
1,Obsidian
1,Oil
1,Plague
1,Poison
1,Power
1,Psyche
1,Quicksilver
1,Rain
1,Rat
1,Rose
1,Rot
1,Rust
1,Salt
1,Sand
1,Sap
1,Serpent
1,Shadow
1,Silver
1,Skin
1,Slime
1,Smoke
1,Snow
1,Souls
1,Spirit
1,Star
1,Steam
1,Stench
1,Stone
1,Sun
1,Tar
1,Thorn
1,Thunder
1,Treasure
1,Venom
1,Vine
1,Void
1,Water
1,Wind
1,Wine
1,Winter
1,Wood
1,Worm

;Form
1,Arc
1,Assassin
1,Aura
1,Bastion
1,Beacon
1,Beam
1,Beast
1,Blade
1,Blast
1,Blob
1,Bolt
1,Bubble
1,Burst
1,Call
1,Cascade
1,Circle
1,Cloud
1,Coil
1,Colossus
1,Column
1,Cone
1,Crystal
1,Cube
1,Disk
1,Elemental
1,Emanation
1,Enclosure
1,Explosion
1,Eye
1,Face
1,Field
1,Fist
1,Fountain
1,Gate
1,Gaze
1,Golem
1,Grip
1,Gush
1,Halo
1,Hand
1,Heart
1,Helix
1,Image
1,Laugh
1,Lock
1,Loop
1,Maze
1,Moment
1,Monolith
1,Mouth
1,Nexus
1,Oracle
1,Path
1,Pattern
1,Plane
1,Portal
1,Prism
1,Pulse
1,Pyramid
1,Ray
1,Rift
1,Road
1,Scream
1,Seal
1,Sentinel
1,Servant
1,Shard
1,Shield
1,Shroud
1,Sigil
1,Song
1,Sphere
1,Spiral
1,Splinter
1,Spray
1,Steed
1,Storm
1,Stream
1,Strike
1,Swarm
1,Tendril
1,Tentacle
1,Throne
1,Tongue
1,Torrent
1,Touch
1,Tower
1,Trap
1,Tree
1,Tunnel
1,Veil
1,Voice
1,Vortex
1,Wall
1,Ward
1,Wave
1,Web
1,Whisper
1,Word
1,Zone
