#
# NMS_Pokemon
# Collectible Monster Generator
# Uses my silly pet name generator, some animal stuff, and the Pokemon
# types, below
#

:Start
1,[NMS_Stardew_Pet_Names.Start] [Types] [Creatures.Start] x [Creatures.Start]

;Types
5,[PokemonTypes]
1,[PokemonTypes] [PokemonTypes]
1,[WeirdoTypes]

;PokemonTypes
2,Normal
1,Fighting
1,Flying
1,Poison
1,Ground
1,Rock
1,Bug
1,Ghost
1,Steel
1,Fire
1,Water
1,Grass
1,Electric
1,Psychic
1,Ice
1,Dragon
1,Dark
1,Fairy


;WeirdoTypes
1,Light
1,Music
1,Magic
1,Sound
1,Cosmic
1,Cyber
1,Magma
1,Steam
1,Rain
1,Wind
1,Plastic
1,Glass
1,Virus
1,Fission
1,Phoenix
1,Medic
1,Plasma
1,Clone
1,Flint
1,Stone
1,Iron
1,Morph
1,Mana
1,Fusion
1,Cluster
1,Ancient
1,Gory
1,Ritual
1,Trap
1,Spell
1,Pure
1,Holy
1,Forest
1,Negative
1,Positive
1,Fungus
1,Oblivion
1,Void
1,Vacuum
1,Dream
1,Rainbow
1,Eldritch
1,Cursed
1,Crystal
1,Fog
1,Acid



