#
# Nms_Vancianspells
#
# July 2018
# Better To Have And Not Need Than To Need And Not Have.
# Some Sources For Words So I Didn't Need To Type All That Stuff:
# My Own Imbue Spirit Spell For Dcc
# This List Of Adjectives: Https://Www.Dailywritingtips.Com/100-Exquisite-Adjectives/
# MAR Barker's Demonic Powers exerpt from the Book of Ebon Bindings
#

:Start 
1-5,[Name]'s [Spell]
6-20,[Spell] of [Name]
21-40,[Spell]


;Spell
1,[Degree] [Magic]


;Degree
30,
1,Lesser
1,Minor
1,Major
1,Greater
1,Legendary


;Magic
1,[Spirit] [NMS_MRSpells.Form]
1,[Spirit] Elemental
1,[Effect] [NMS_MRSpells.Form]
10,[Spirit] [Effect]
1,[Adjective] [Spirit] [NMS_MRSpells.Form]
10,Charm of [Adjective] [Effect]
1,[Adjective] Summoning of the [Effect] [Type]
20,[NMS_MRSpells.Start]

;Name
1,Otiluke
1,Mordenkainen
1,Bigby
1,Leomund
1,Rary
1,Drawmij
1,Serten
1,Tenser
1,Hornung
1,Maximillian
1,Otto
1,Mazirian
1,Turjan
1,Pandelume
1,Nystul
1,Drenal
1,Melf
1,Abi-Dalzim
1,Nahal
1,Nybor
1,Laeral
1,Kandive
1,Felojun
1,Daedsisulpg
1,Dale Dugpiss
1,Gad Leis
10,[Angel Names.Start]
10,[Egyptian Names.Start]
5,{Cap~[Lovecraft.PrefV][Lovecraft.Suff]}
10,[Fantasy Names.Start]
10,[Dying Earth Names2.Start]
2,Saint [Dickensian Names.Male First]
2,Saint [Dickensian Names.Female First]

;Type
1,Spirit
1,Daemon
1,Devil
1,Demon
1,Elemental
1,Mephit
1,Beast


;Form
1,Tower
1,Servant
1,Symbol
1,Bond
1,Rune
1,Curse
1,Cantrip
1,Spell
1,Incantation
1,Dweomer
1,Glamour
1,Illusion
1,Evocation
1,Conjuration
1,Admonition
1,Summoning
1,Geas
1,Circle
1,Sphere
1,Ward
1,Lock
1,Bargain
1,Invocation
1,Bifurcation
1,Hex
1,Jinx
1,Riddle


;Spirit
1,Fire
1,Water
1,Air
1,Earth
1,Poison
1,Lust
1,Modesty
1,Patience
1,Curiosity
1,Vengeance
1,Thrift
1,Prowess
1,Hunger
1,Gossip
1,Laughter
1,Effluvia
1,Thrushing
1,Miniscule
1,Sickly
1,Affronting
1,Capricious
1,Onerous
1,Undulating
1,Harmonious
1,Rip
1,Bubbly
1,Venomous
1,Irritating
1,Woolen
1,Serendipity
1,Fecund
1,Intimidating
1,Murderous
1,Golden
1,Silken
1,Ropy
1,Wooden
1,Billowing
1,Bloody
1,Berserk
1,Scorn
1,Disgust
1,Officious
1,Bureaucratic
1,Smoky
1,Shadowy
1,Hasty
1,Bilious
1,Sanguine
1,Moldy
1,Rotten
1,Elegant
1,Sour
1,Candied
1,Meat
1,Ale
1,Fungal
1,Flowery
1,Avian
1,Reptilian
1,Bony
1,Sickly
1,Hungry
1,Vapid
1,Placid
1,Festive
1,Flatulent
1,Chocolate
1,Teetering
1,Warm
1,Steam
1,Ashen
1,Earthy
1,Pollen
1,Kibble
1,Flensed
1,Stitched
1,Ragged
1,Crystalline
1,Plastic
1,Brilliant
1,Reflective
1,Glassine
1,Salty
1,Feathery
1,Scaly
1,Vulpine
1,Rabid
1,Silent
1,Roaring
1,Charred
1,Wilting
1,Vine-Covered
1,Dripping
1,Drunken
1,Pugnacious
1,Rimed
1,Chained
1,Dominating
1,Hanging
1,Tied
1,Sewn
1,Eyeless
1,Toothless
1,Astrobleme
1,Aspergillum
1,Bezoar
1,Bingle
1,Bruxism
1,Boffola
1,Cacoeth
1,Lithograph

;Adjective
1,Adamant
1,Adroit
1,Amatory
1,Animistic
1,Antic
1,Arcadian
1,Baleful
1,Bellicose
1,Bilious
1,Boorish
1,Calamitous
1,Caustic
1,Cerulean
1,Comely
1,Concomitant
1,Contumacious
1,Corpulent
1,Crapulous
1,Defamatory
1,Didactic
1,Dilatory
1,Dowdy
1,Efficacious
1,Effulgent
1,Egregious
1,Endemic
1,Equanimous
1,Execrable
1,Fastidious
1,Feckless
1,Fecund
1,Friable
1,Fulsome
1,Garrulous
1,Guileless
1,Gustatory
1,Heuristic
1,Histrionic
1,Hubristic
1,Incendiary
1,Insidious
1,Insolent
1,Intransigent
1,Inveterate
1,Invidious
1,Irksome
1,Jejune
1,Jocular
1,Judicious
1,Lachrymose
1,Limpid
1,Loquacious
1,Luminous
1,Mannered
1,Mellifluous
1,Mendacious
1,Meretricious
1,Minatory
1,Mordant
1,Munificent
1,Nefarious
1,Noxious
1,Obtuse
1,Parsimonious
1,Pendulous
1,Pernicious
1,Pervasive
1,Petulant
1,Platitudinous
1,Precipitate
1,Propitious
1,Puckish
1,Querulous
1,Quiescent
1,Rebarbative
1,Recalcitrant
1,Redolent
1,Rhadamanthine
1,Risible
1,Ruminative
1,Sagacious
1,Salubrious
1,Sartorial
1,Sclerotic
1,Serpentine
1,Spasmodic
1,Strident
1,Taciturn
1,Tenacious
1,Tremulous
1,Trenchant
1,Turbulent
1,Turgid
